,Lng_bcity,bcity_count
0,-87.62979820000001,109
1,-118.24368490000002,81
2,-75.1652215,77
3,-73.94415790000001,63
4,-74.0059728,58
5,-77.03687070000001,52
6,-83.0457538,52
7,-76.6121893,36
8,-84.3879824,34
9,-96.7969879,33
10,-95.36980279999999,28
11,-90.0489801,28
12,-90.0715323,22
13,-85.7584557,21
14,-90.1994042,20
15,-86.8103567,20
16,-86.158068,20
17,-122.33207079999998,20
18,-73.86482679999999,20
19,-87.9064736,19
20,-122.4194155,19
21,-122.27116389999999,19
22,-91.1871466,18
23,-84.1916069,18
24,-81.6943605,18
25,-122.6750261,17
26,-118.1937395,17
27,-82.99879419999998,16
28,-73.7948516,15
29,-93.2650108,15
30,-84.5120196,15
31,-90.1848103,14
32,-74.1723667,13
33,-83.6874562,13
34,-80.8431267,12
35,-74.0431435,11
36,-117.1610838,11
37,-71.0588801,11
38,-83.53786740000001,11
39,-86.78160159999999,11
40,-80.24421600000001,10
41,-98.4936282,10
42,-87.3371523,10
43,-77.4360481,10
44,-73.8370786,9
45,-118.3531311,9
46,-117.3754942,9
47,-80.1917902,9
48,-77.6088465,9
49,-79.9958864,9
50,-97.5164276,9
51,-72.6733723,9
52,-79.3831843,9
53,-95.992775,9
54,20.448921600000002,9
55,-111.89104740000002,9
56,-92.1193012,8
57,-85.13935129999999,8
58,-81.378447,8
59,-118.2200712,8
60,-78.8783689,8
61,-81.65565099999998,8
62,-88.0398912,8
63,-121.49439960000001,8
64,-82.0105148,7
65,144.96305759999998,7
66,16.4401935,7
67,-104.990251,7
68,-121.88632859999998,7
69,-119.78712469999999,7
70,-83.9508068,7
71,-86.25198979999998,6
72,-85.6680863,6
73,-81.0348144,6
74,-78.6381787,6
75,-94.5785667,6
76,-92.2895948,6
77,-115.13982959999998,6
78,-93.75017890000001,6
79,-84.50371640000002,6
80,-73.567256,6
81,-72.9278835,6
82,-87.6467131,6
83,-74.75971700000001,6
84,-81.09120300000001,6
85,-86.3077368,6
86,-76.14742439999998,6
87,-81.51900529999998,5
88,-112.07403729999999,5
89,-17.4676861,5
90,-119.0187125,5
91,-87.68769689999998,5
92,-95.93450340000001,5
93,-122.27304199999999,5
94,-82.4571776,5
95,-84.9877094,5
96,-83.6324022,5
97,-85.3863599,5
98,-122.4442906,5
99,-0.12775830000000002,5
100,-77.5816353,5
101,23.9035965,5
102,-82.3940104,5
103,-84.55553470000001,5
104,-3.7037902000000003,5
105,-87.78285230000002,5
106,-97.3307658,5
107,-84.5499327,5
